metric_1,metric_2,correlation,abs_correlation,correlation_type,strength
mean_abs_error,best_pair_score,-0.6877483421988262,0.6877483421988262,negative,moderate
C(t),mean_high_effort,0.6819688117568069,0.6819688117568069,positive,moderate
fluidity,En_mean(t),0.6800389098699868,0.6800389098699868,positive,moderate
mean_abs_error,tau_f_mean,-0.6731945962055965,0.6731945962055965,negative,moderate
On_mean(t),tau_gamma,-0.6702671593539851,0.6702671593539851,negative,moderate
E(t),tau_gamma,-0.6701422448460996,0.6701422448460996,negative,moderate
effort(t),d_effort_dt,0.670037125804586,0.670037125804586,positive,moderate
best_pair_gamma,autocorr_tau,-0.6686058686232504,0.6686058686232504,negative,moderate
tau_gamma,tau_C,0.6673072867165319,0.6673072867165319,positive,moderate
An_mean(t),tau_gamma,-0.6597159152444216,0.6597159152444216,negative,moderate
mean_abs_error,temporal_coherence,-0.6493821554299872,0.6493821554299872,negative,moderate
best_pair_gamma,decorrelation_time,-0.6466499901512205,0.6466499901512205,negative,moderate
tau_S,best_pair_gamma,-0.6466499901512205,0.6466499901512205,negative,moderate
tau_f_mean,best_pair_gamma,-0.6462422884619687,0.6462422884619687,negative,moderate
mean_high_effort,max_median_ratio,-0.6461562138172823,0.6461562138172823,negative,moderate
std_S,tau_gamma,-0.6447853890895832,0.6447853890895832,negative,moderate
E(t),tau_C,-0.6400951833307452,0.6400951833307452,negative,moderate
En_mean(t),tau_gamma,-0.638552753529132,0.638552753529132,negative,moderate
gamma,best_pair_score,-0.6364155653217657,0.6364155653217657,negative,moderate
An_mean(t),tau_C,-0.6345551198632738,0.6345551198632738,negative,moderate
gamma_mean(t),best_pair_score,-0.6344281978536619,0.6344281978536619,negative,moderate
tau_S,tau_C,0.6303687996223104,0.6303687996223104,positive,moderate
tau_C,decorrelation_time,0.6303687996223104,0.6303687996223104,positive,moderate
An_mean(t),continuous_resilience,-0.6295952275615846,0.6295952275615846,negative,moderate
tau_gamma,mean_high_effort,-0.6274705876929215,0.6274705876929215,negative,moderate
continuous_resilience,mean_high_effort,-0.627382569971224,0.627382569971224,negative,moderate
mean_abs_error,tau_gamma,-0.6228565452013491,0.6228565452013491,negative,moderate
E(t),continuous_resilience,-0.6173306427325543,0.6173306427325543,negative,moderate
tau_C,autocorr_tau,0.6119690305888765,0.6119690305888765,positive,moderate
std_S,tau_C,-0.6010853672284674,0.6010853672284674,negative,moderate
En_mean(t),autocorr_tau,-0.6003142045664736,0.6003142045664736,negative,moderate
C(t),tau_gamma,-0.596673067175148,0.596673067175148,negative,moderate
variance_d2S,tau_f_mean,-0.5958348715641302,0.5958348715641302,negative,moderate
C(t),E(t),0.5917752642985057,0.5917752642985057,positive,moderate
tau_gamma,max_median_ratio,0.5895845114303211,0.5895845114303211,positive,moderate
C(t),An_mean(t),0.5873874433607105,0.5873874433607105,positive,moderate
En_mean(t),tau_S,-0.5868457665746961,0.5868457665746961,negative,moderate
En_mean(t),decorrelation_time,-0.5868457665746961,0.5868457665746961,negative,moderate
S(t),variance_d2S,-0.5840325383317452,0.5840325383317452,negative,moderate
fluidity,adaptive_resilience,-0.5761712058262308,0.5761712058262308,negative,moderate
tau_C,best_pair_score,0.5755448934865692,0.5755448934865692,positive,moderate
variance_d2S,tau_gamma,-0.5666375132835212,0.5666375132835212,negative,moderate
temporal_coherence,best_pair_score,-0.5657337189638609,0.5657337189638609,negative,moderate
mean_abs_error,autocorr_tau,-0.5634491638899836,0.5634491638899836,negative,moderate
std_S,continuous_resilience,-0.5634120893385335,0.5634120893385335,negative,moderate
best_pair_gamma,mean_high_effort,0.560357632673398,0.560357632673398,positive,moderate
mean_abs_error,tau_S,-0.5527961605146685,0.5527961605146685,negative,moderate
mean_abs_error,decorrelation_time,-0.5527961605146685,0.5527961605146685,negative,moderate
An_mean(t),best_pair_gamma,0.547685050736891,0.547685050736891,positive,moderate
E(t),best_pair_gamma,0.5475058421855618,0.5475058421855618,positive,moderate
E(t),max_median_ratio,-0.5420494975473639,0.5420494975473639,negative,moderate
On_mean(t),tau_C,-0.5398518747241355,0.5398518747241355,negative,moderate
C(t),decorrelation_time,-0.5391646001490509,0.5391646001490509,negative,moderate
C(t),tau_S,-0.5391646001490509,0.5391646001490509,negative,moderate
S(t),gamma,-0.5385817556826719,0.5385817556826719,negative,moderate
An_mean(t),max_median_ratio,-0.537872191621026,0.537872191621026,negative,moderate
C(t),std_S,0.5331126221976087,0.5331126221976087,positive,moderate
entropy_S,mean_high_effort,0.5264034722330112,0.5264034722330112,positive,moderate
S(t),gamma_mean(t),-0.5232813257477232,0.5232813257477232,negative,moderate
tau_f_mean,best_pair_score,0.5227121344002713,0.5227121344002713,positive,moderate
C(t),autocorr_tau,-0.5203579733575782,0.5203579733575782,negative,moderate
C(t),best_pair_score,-0.5198460107238329,0.5198460107238329,negative,moderate
std_S,best_pair_gamma,0.5113400825370175,0.5113400825370175,positive,moderate
best_pair_score,max_median_ratio,0.5102635452838258,0.5102635452838258,positive,moderate
entropy_S,An_mean(t),0.4990109802114997,0.4990109802114997,positive,weak
tau_S,max_median_ratio,0.49861779557950303,0.49861779557950303,positive,weak
decorrelation_time,max_median_ratio,0.49861779557950303,0.49861779557950303,positive,weak
E(t),entropy_S,0.49776196062267286,0.49776196062267286,positive,weak
std_S,max_median_ratio,-0.4884081707683984,0.4884081707683984,negative,weak
En_mean(t),continuous_resilience,0.4833358584990813,0.4833358584990813,positive,weak
entropy_S,std_S,0.4815804495983693,0.4815804495983693,positive,weak
On_mean(t),tau_f_mean,-0.47998631616331305,0.47998631616331305,negative,weak
variance_d2S,tau_C,-0.4777559616925387,0.4777559616925387,negative,weak
autocorr_tau,max_median_ratio,0.47774167325676736,0.47774167325676736,positive,weak
gamma_mean(t),tau_f_mean,-0.4728113985723042,0.4728113985723042,negative,weak
gamma_mean(t),autocorr_tau,-0.4695918506160244,0.4695918506160244,negative,weak
gamma_mean(t),tau_S,-0.4632048293876747,0.4632048293876747,negative,weak
gamma_mean(t),decorrelation_time,-0.4632048293876747,0.4632048293876747,negative,weak
C(t),On_mean(t),0.46209215073289095,0.46209215073289095,positive,weak
variance_d2S,fn_mean(t),0.4608145143466785,0.4608145143466785,positive,weak
fn_mean(t),autocorr_tau,-0.45652411066568704,0.45652411066568704,negative,weak
mean_abs_error,continuous_resilience,0.4515109860028587,0.4515109860028587,positive,weak
fn_mean(t),decorrelation_time,-0.45036704315008247,0.45036704315008247,negative,weak
fn_mean(t),tau_S,-0.45036704315008247,0.45036704315008247,negative,weak
gamma,autocorr_tau,-0.4503456905736442,0.4503456905736442,negative,weak
mean_abs_error,adaptive_resilience,-0.4498950429423365,0.4498950429423365,negative,weak
gamma,tau_S,-0.44481055000450664,0.44481055000450664,negative,weak
gamma,decorrelation_time,-0.44481055000450664,0.44481055000450664,negative,weak
gamma,tau_f_mean,-0.4414141373351213,0.4414141373351213,negative,weak
std_S,fn_mean(t),0.4381094357878279,0.4381094357878279,positive,weak
En_mean(t),adaptive_resilience,-0.43701227622554706,0.43701227622554706,negative,weak
tau_A_mean,temporal_coherence,0.43124983088583546,0.43124983088583546,positive,weak
fn_mean(t),On_mean(t),0.4303778844457519,0.4303778844457519,positive,weak
gamma,fn_mean(t),0.4299426853998172,0.4299426853998172,positive,weak
tau_f_mean,tau_C,0.42769014588409804,0.42769014588409804,positive,weak
fn_mean(t),best_pair_gamma,0.4272871222089407,0.4272871222089407,positive,weak
gamma_mean(t),fn_mean(t),0.4270954593624125,0.4270954593624125,positive,weak
entropy_S,On_mean(t),0.42168426358604494,0.42168426358604494,positive,weak
E(t),tau_f_mean,-0.4208330381510054,0.4208330381510054,negative,weak
C(t),variance_d2S,0.42002128827278895,0.42002128827278895,positive,weak
entropy_S,variance_d2S,0.41624159443482994,0.41624159443482994,positive,weak
On_mean(t),max_median_ratio,-0.4077107204655219,0.4077107204655219,negative,weak
An_mean(t),tau_f_mean,-0.406610217976192,0.406610217976192,negative,weak
std_S,tau_f_mean,-0.40435689213566633,0.40435689213566633,negative,weak
On_mean(t),continuous_resilience,-0.3984562450547893,0.3984562450547893,negative,weak
entropy_S,best_pair_score,-0.3956176525390256,0.3956176525390256,negative,weak
entropy_S,tau_C,-0.38975162162040833,0.38975162162040833,negative,weak
E(t),gamma,0.38871967898380455,0.38871967898380455,positive,weak
C(t),entropy_S,0.38864632027344886,0.38864632027344886,positive,weak
variance_d2S,gamma,0.3869093672801143,0.3869093672801143,positive,weak
gamma,An_mean(t),0.3855313609467126,0.3855313609467126,positive,weak
variance_d2S,gamma_mean(t),0.3827987333686943,0.3827987333686943,positive,weak
E(t),gamma_mean(t),0.3795021471297162,0.3795021471297162,positive,weak
tau_f_mean,mean_high_effort,-0.3787918975513085,0.3787918975513085,negative,weak
En_mean(t),tau_A_mean,-0.37595315348303565,0.37595315348303565,negative,weak
gamma_mean(t),An_mean(t),0.37548565860577887,0.37548565860577887,positive,weak
gamma_mean(t),tau_gamma,-0.37527648232545874,0.37527648232545874,negative,weak
temporal_coherence,autocorr_tau,0.3699018315559768,0.3699018315559768,positive,weak
S(t),fn_mean(t),-0.3636916308749309,0.3636916308749309,negative,weak
tau_A_mean,tau_f_mean,0.3632677604736776,0.3632677604736776,positive,weak
tau_gamma,best_pair_gamma,-0.35924229700055044,0.35924229700055044,negative,weak
variance_d2S,continuous_resilience,-0.35867163334408575,0.35867163334408575,negative,weak
On_mean(t),best_pair_gamma,0.35676737822896126,0.35676737822896126,positive,weak
E(t),fn_mean(t),0.35129691801903795,0.35129691801903795,positive,weak
mean_abs_error,tau_A_mean,-0.35019651233721205,0.35019651233721205,negative,weak
entropy_S,max_median_ratio,-0.3501899628295768,0.3501899628295768,negative,weak
mean_abs_error,tau_C,-0.35016376244556935,0.35016376244556935,negative,weak
An_mean(t),fn_mean(t),0.34992224086690277,0.34992224086690277,positive,weak
gamma,tau_gamma,-0.34914044699159097,0.34914044699159097,negative,weak
variance_d2S,max_median_ratio,-0.3491212244706242,0.3491212244706242,negative,weak
S(t),tau_f_mean,0.34445405647282484,0.34445405647282484,positive,weak
std_S,gamma,0.34361847383863525,0.34361847383863525,positive,weak
En_mean(t),tau_C,-0.3427016669768247,0.3427016669768247,negative,weak
C(t),tau_f_mean,-0.3417087290465981,0.3417087290465981,negative,weak
fluidity,temporal_coherence,-0.3406508660125977,0.3406508660125977,negative,weak
S(t),best_pair_gamma,-0.34059089193060316,0.34059089193060316,negative,weak
entropy_S,tau_S,-0.33505105054733936,0.33505105054733936,negative,weak
entropy_S,decorrelation_time,-0.33505105054733936,0.33505105054733936,negative,weak
std_S,gamma_mean(t),0.3340977701251207,0.3340977701251207,positive,weak
effort(t),variance_d2S,0.33408804556279326,0.33408804556279326,positive,weak
tau_f_mean,continuous_resilience,-0.33168131166521525,0.33168131166521525,negative,weak
tau_f_mean,max_median_ratio,0.3308080683179187,0.3308080683179187,positive,weak
fn_mean(t),tau_f_mean,-0.32936362403317077,0.32936362403317077,negative,weak
entropy_S,autocorr_tau,-0.32668136628211747,0.32668136628211747,negative,weak
temporal_coherence,decorrelation_time,0.3265544551845751,0.3265544551845751,positive,weak
tau_S,temporal_coherence,0.326554455184575,0.326554455184575,positive,weak
mean_abs_error,max_median_ratio,-0.32582390048582444,0.32582390048582444,negative,weak
fn_mean(t),mean_high_effort,0.32498696749726524,0.32498696749726524,positive,weak
continuous_resilience,best_pair_gamma,-0.31933235565527923,0.31933235565527923,negative,weak
S(t),An_mean(t),-0.3192484271961401,0.3192484271961401,negative,weak
S(t),E(t),-0.31883548366253567,0.31883548366253567,negative,weak
tau_A_mean,continuous_resilience,-0.3179034899034719,0.3179034899034719,negative,weak
effort(t),autocorr_tau,-0.3113156868365432,0.3113156868365432,negative,weak
effort(t),decorrelation_time,-0.30759736412624267,0.30759736412624267,negative,weak
effort(t),tau_S,-0.30759736412624267,0.30759736412624267,negative,weak
S(t),autocorr_tau,0.3041136449997761,0.3041136449997761,positive,weak
En_mean(t),max_median_ratio,-0.3024114658919472,0.3024114658919472,negative,weak
tau_A_mean,autocorr_tau,0.30007395320784824,0.30007395320784824,positive,weak
entropy_S,best_pair_gamma,0.29816419352254453,0.29816419352254453,positive,very_weak
fluidity,tau_f_mean,-0.2977474712367913,0.2977474712367913,negative,very_weak
C(t),mean_abs_error,0.29169208113770784,0.29169208113770784,positive,very_weak
fn_mean(t),best_pair_score,-0.29013971157595914,0.29013971157595914,negative,very_weak
entropy_S,continuous_resilience,-0.2898721778785423,0.2898721778785423,negative,very_weak
gamma,mean_high_effort,0.2881866146014311,0.2881866146014311,positive,very_weak
effort(t),mean_high_effort,0.2871169301180221,0.2871169301180221,positive,very_weak
tau_A_mean,decorrelation_time,0.2848595303288533,0.2848595303288533,positive,very_weak
tau_A_mean,tau_S,0.2848595303288533,0.2848595303288533,positive,very_weak
S(t),mean_high_effort,-0.2836441868501881,0.2836441868501881,negative,very_weak
S(t),tau_S,0.2833585264075039,0.2833585264075039,positive,very_weak
S(t),decorrelation_time,0.2833585264075039,0.2833585264075039,positive,very_weak
S(t),best_pair_score,-0.2821219730161377,0.2821219730161377,negative,very_weak
effort(t),tau_f_mean,-0.2805206692586449,0.2805206692586449,negative,very_weak
gamma_mean(t),On_mean(t),0.2783516485527854,0.2783516485527854,positive,very_weak
C(t),En_mean(t),0.27657426862056445,0.27657426862056445,positive,very_weak
fluidity,continuous_resilience,0.2764466493655502,0.2764466493655502,positive,very_weak
gamma_mean(t),mean_high_effort,0.2761218406906556,0.2761218406906556,positive,very_weak
gamma,On_mean(t),0.27381105641847464,0.27381105641847464,positive,very_weak
C(t),continuous_resilience,-0.27203216226484445,0.27203216226484445,negative,very_weak
tau_gamma,temporal_coherence,0.264190322648817,0.264190322648817,positive,very_weak
tau_A_mean,tau_gamma,0.2608429930102779,0.2608429930102779,positive,very_weak
gamma_mean(t),tau_C,-0.26005624934648547,0.26005624934648547,negative,very_weak
tau_C,best_pair_gamma,-0.25721398593830924,0.25721398593830924,negative,very_weak
E(t),effort(t),0.2530686681717236,0.2530686681717236,positive,very_weak
S(t),On_mean(t),-0.2520281737927114,0.2520281737927114,negative,very_weak
gamma,tau_C,-0.2503296341604006,0.2503296341604006,negative,very_weak
tau_C,continuous_resilience,0.24973692081848192,0.24973692081848192,positive,very_weak
En_mean(t),best_pair_gamma,0.24903852416778371,0.24903852416778371,positive,very_weak
temporal_coherence,mean_high_effort,0.247263355885416,0.247263355885416,positive,very_weak
continuous_resilience,max_median_ratio,0.24705057854222823,0.24705057854222823,positive,very_weak
effort(t),On_mean(t),0.24662204414083055,0.24662204414083055,positive,very_weak
effort(t),An_mean(t),0.24579703591300134,0.24579703591300134,positive,very_weak
effort(t),fn_mean(t),0.24218392995357316,0.24218392995357316,positive,very_weak
fn_mean(t),tau_gamma,-0.2369194853275777,0.2369194853275777,negative,very_weak
An_mean(t),temporal_coherence,0.2365126200409112,0.2365126200409112,positive,very_weak
fluidity,tau_gamma,-0.23494388459773308,0.23494388459773308,negative,very_weak
entropy_S,tau_A_mean,0.23453496427226206,0.23453496427226206,positive,very_weak
std_S,temporal_coherence,0.23137296989999545,0.23137296989999545,positive,very_weak
effort(t),tau_gamma,-0.23079207307387217,0.23079207307387217,negative,very_weak
effort(t),std_S,0.22950571849260862,0.22950571849260862,positive,very_weak
gamma_mean(t),temporal_coherence,-0.22602252314862353,0.22602252314862353,negative,very_weak
C(t),gamma_mean(t),0.22378956759941593,0.22378956759941593,positive,very_weak
entropy_S,fn_mean(t),0.22330925094746373,0.22330925094746373,positive,very_weak
C(t),best_pair_gamma,0.22283304220845004,0.22283304220845004,positive,very_weak
S(t),std_S,-0.22047730272068103,0.22047730272068103,negative,very_weak
E(t),temporal_coherence,0.2202418013870641,0.2202418013870641,positive,very_weak
C(t),gamma,0.21677549356647435,0.21677549356647435,positive,very_weak
fluidity,autocorr_tau,-0.21389163006625292,0.21389163006625292,negative,very_weak
best_pair_score,d_effort_dt,0.21289728319650172,0.21289728319650172,positive,very_weak
gamma_mean(t),max_median_ratio,-0.21248981458348615,0.21248981458348615,negative,very_weak
effort(t),gamma,-0.2082446033217235,0.2082446033217235,negative,very_weak
entropy_S,gamma,0.20799337517731026,0.20799337517731026,positive,very_weak
fluidity,tau_S,-0.20568220142663418,0.20568220142663418,negative,very_weak
fluidity,decorrelation_time,-0.20568220142663418,0.20568220142663418,negative,very_weak
best_pair_gamma,max_median_ratio,-0.2044445309336153,0.2044445309336153,negative,very_weak
gamma,max_median_ratio,-0.203559594661657,0.203559594661657,negative,very_weak
effort(t),gamma_mean(t),-0.20043914935152518,0.20043914935152518,negative,very_weak
entropy_S,tau_gamma,-0.20027666596206423,0.20027666596206423,negative,very_weak
temporal_coherence,adaptive_resilience,0.19675244628962396,0.19675244628962396,positive,very_weak
entropy_S,gamma_mean(t),0.1921515600307732,0.1921515600307732,positive,very_weak
gamma,temporal_coherence,-0.1855050355921495,0.1855050355921495,negative,very_weak
S(t),temporal_coherence,0.17973189072207194,0.17973189072207194,positive,very_weak
tau_f_mean,adaptive_resilience,0.17453486097578935,0.17453486097578935,positive,very_weak
effort(t),tau_C,-0.1740550602023157,0.1740550602023157,negative,very_weak
S(t),entropy_S,-0.17149881424222205,0.17149881424222205,negative,very_weak
effort(t),En_mean(t),0.1707277302931439,0.1707277302931439,positive,very_weak
fn_mean(t),d_effort_dt,0.1697154212102317,0.1697154212102317,positive,very_weak
fluidity,tau_A_mean,-0.16912961770828736,0.16912961770828736,negative,very_weak
variance_d2S,En_mean(t),0.16405160474675465,0.16405160474675465,positive,very_weak
fn_mean(t),tau_A_mean,-0.16356703031762554,0.16356703031762554,negative,very_weak
gamma_mean(t),tau_A_mean,-0.1623724415408772,0.1623724415408772,negative,very_weak
adaptive_resilience,continuous_resilience,-0.15757216299949256,0.15757216299949256,negative,very_weak
variance_d2S,tau_A_mean,-0.15430528689289247,0.15430528689289247,negative,very_weak
fluidity,gamma,-0.15411704854323713,0.15411704854323713,negative,very_weak
entropy_S,temporal_coherence,0.15403454431771063,0.15403454431771063,positive,very_weak
fluidity,An_mean(t),-0.15334923530980488,0.15334923530980488,negative,very_weak
gamma_mean(t),En_mean(t),0.1531437212577927,0.1531437212577927,positive,very_weak
E(t),fluidity,-0.15153483605973087,0.15153483605973087,negative,very_weak
effort(t),temporal_coherence,-0.15152603277632576,0.15152603277632576,negative,very_weak
effort(t),mean_abs_error,0.15149375020468997,0.15149375020468997,positive,very_weak
C(t),effort(t),0.1499281761887412,0.1499281761887412,positive,very_weak
tau_A_mean,max_median_ratio,-0.14920389136415899,0.14920389136415899,negative,very_weak
entropy_S,tau_f_mean,-0.14785763362093202,0.14785763362093202,negative,very_weak
fluidity,gamma_mean(t),-0.14402687294852046,0.14402687294852046,negative,very_weak
mean_abs_error,best_pair_gamma,0.14354382026387028,0.14354382026387028,positive,very_weak
gamma,tau_A_mean,-0.14164847907033873,0.14164847907033873,negative,very_weak
C(t),tau_A_mean,0.13884223285696362,0.13884223285696362,positive,very_weak
tau_gamma,adaptive_resilience,0.13819367738579977,0.13819367738579977,positive,very_weak
entropy_S,fluidity,-0.13356848835396912,0.13356848835396912,negative,very_weak
best_pair_gamma,d_effort_dt,-0.13294074084421148,0.13294074084421148,negative,very_weak
entropy_S,mean_abs_error,-0.13137302525578848,0.13137302525578848,negative,very_weak
adaptive_resilience,autocorr_tau,0.12711548648722615,0.12711548648722615,positive,very_weak
fluidity,On_mean(t),-0.12607068077170713,0.12607068077170713,negative,very_weak
gamma_mean(t),adaptive_resilience,0.12570654189702024,0.12570654189702024,positive,very_weak
gamma,adaptive_resilience,0.12561658504332845,0.12561658504332845,positive,very_weak
mean_abs_error,gamma_mean(t),0.12451318342806533,0.12451318342806533,positive,very_weak
adaptive_resilience,decorrelation_time,0.12238944473619841,0.12238944473619841,positive,very_weak
tau_S,adaptive_resilience,0.12238944473619835,0.12238944473619835,positive,very_weak
tau_gamma,continuous_resilience,0.12229674937860674,0.12229674937860674,positive,very_weak
entropy_S,En_mean(t),-0.11934060832082921,0.11934060832082921,negative,very_weak
mean_abs_error,variance_d2S,0.11786887515268446,0.11786887515268446,positive,very_weak
fluidity,mean_high_effort,-0.11771761747299107,0.11771761747299107,negative,very_weak
S(t),tau_A_mean,0.1172097864911083,0.1172097864911083,positive,very_weak
On_mean(t),tau_A_mean,-0.11609293993461577,0.11609293993461577,negative,very_weak
fluidity,max_median_ratio,-0.1152471318881244,0.1152471318881244,negative,very_weak
gamma,En_mean(t),0.11142248584136409,0.11142248584136409,positive,very_weak
En_mean(t),On_mean(t),0.11060337719413886,0.11060337719413886,positive,very_weak
effort(t),max_median_ratio,-0.10997557706939941,0.10997557706939941,negative,very_weak
effort(t),entropy_S,0.10827434104088926,0.10827434104088926,positive,very_weak
fluidity,tau_C,-0.1072074287132513,0.1072074287132513,negative,very_weak
std_S,En_mean(t),0.1057926624170851,0.1057926624170851,positive,very_weak
S(t),effort(t),-0.10443306658020356,0.10443306658020356,negative,very_weak
fn_mean(t),continuous_resilience,-0.10364849925998701,0.10364849925998701,negative,very_weak
tau_A_mean,tau_C,-0.10338542952020992,0.10338542952020992,negative,very_weak
continuous_resilience,decorrelation_time,0.10325902950075151,0.10325902950075151,positive,very_weak
tau_S,continuous_resilience,0.10325902950075135,0.10325902950075135,positive,very_weak
effort(t),tau_A_mean,-0.10076875032868053,0.10076875032868053,negative,very_weak
tau_A_mean,adaptive_resilience,0.0982371667027187,0.0982371667027187,positive,very_weak
fn_mean(t),tau_C,-0.09663031291496085,0.09663031291496085,negative,very_weak
mean_abs_error,std_S,0.09405060268913028,0.09405060268913028,positive,very_weak
fluidity,fn_mean(t),-0.0889664665365763,0.0889664665365763,negative,very_weak
mean_abs_error,gamma,0.08481689216328853,0.08481689216328853,positive,very_weak
An_mean(t),adaptive_resilience,0.08470270464605376,0.08470270464605376,positive,very_weak
variance_d2S,temporal_coherence,-0.08445975200746793,0.08445975200746793,negative,very_weak
S(t),continuous_resilience,0.08401381771612304,0.08401381771612304,positive,very_weak
E(t),adaptive_resilience,0.08385505127391836,0.08385505127391836,positive,very_weak
